Time,Extension,Load,Tensile strain (Strain 1)
(s),(mm),(N),(mm/mm)
"0.00000","-0.03162","-0.99356","0.00002"
"0.10000","-0.02756","38.23066","0.00003"
"0.20000","-0.01600","299.21259","0.00006"
"0.30000","-0.00694","522.25275","0.00009"
"0.40000","0.00150","720.69501","0.00011"
"0.50000","0.01012","904.57928","0.00013"
"0.60000","0.01862","1062.73596","0.00014"
"0.70000","0.02675","1197.15796","0.00015"
"0.80000","0.03506","1317.76025","0.00016"
"0.90000","0.04350","1431.03601","0.00016"
"1.00000","0.05156","1531.00610","0.00016"
"1.10000","0.06000","1635.93103","0.00016"
"1.20000","0.06850","1737.64172","0.00016"
"1.30000","0.07687","1827.79504","0.00016"
"1.40000","0.08500","1918.04761","0.00016"
"1.50000","0.09356","2007.94409","0.00016"
"1.60000","0.10194","2089.96118","0.00016"
"1.70000","0.10994","2170.35181","0.00015"
"1.80000","0.11837","2252.22168","0.00015"
"1.90000","0.12694","2328.00122","0.00015"
"2.00000","0.13519","2386.73950","0.00014"
"2.10000","0.14350","2444.03198","0.00014"
"2.20000","0.15194","2499.13232","0.00014"
"2.30000","0.16019","2553.19531","0.00013"
"2.40000","0.16825","2617.59912","0.00013"
"2.50000","0.17669","2683.17261","0.00013"
"2.60000","0.18512","2747.33032","0.00013"
"2.70000","0.19331","2812.63550","0.00012"
"2.80000","0.20187","2880.45679","0.00012"
"2.90000","0.21031","2945.69385","0.00012"
"3.00000","0.21850","3006.47217","0.00011"
"3.10000","0.22681","3069.86621","0.00011"
"3.20000","0.23512","3130.50830","0.00011"
"3.30000","0.24344","3188.01074","0.00011"
"3.40000","0.25175","3252.35645","0.00011"
"3.50000","0.26025","3315.96948","0.00011"
"3.60000","0.26869","3376.31470","0.00011"
"3.70000","0.27681","3435.14087","0.00010"
"3.80000","0.28512","3496.87964","0.00011"
"3.90000","0.29356","3560.67603","0.00010"
"4.00000","0.30156","3616.09424","0.00010"
"4.10000","0.31000","3680.08008","0.00010"
"4.20000","0.31850","3744.85767","0.00010"
"4.30000","0.32694","3802.66870","0.00010"
"4.40000","0.33506","3864.52002","0.00010"
"4.50000","0.34350","3928.95190","0.00009"
"4.60000","0.35194","3988.62915","0.00009"
"4.70000","0.35994","4048.73682","0.00009"
"4.80000","0.36831","4111.87842","0.00009"
"4.90000","0.37694","4178.32471","0.00009"
"5.00000","0.38525","4238.38232","0.00008"
"5.10000","0.39350","4302.53369","0.00008"
"5.20000","0.40194","4367.86182","0.00007"
"5.30000","0.41019","4425.58203","0.00007"
"5.40000","0.41825","4490.60840","0.00007"
"5.50000","0.42669","4554.85791","0.00007"
"5.60000","0.43519","4618.00488","0.00007"
"5.70000","0.44337","4680.76904","0.00006"
"5.80000","0.45187","4744.73633","0.00006"
"5.90000","0.46025","4805.11133","0.00006"
"6.00000","0.46850","4862.83789","0.00005"
"6.10000","0.47687","4923.13037","0.00005"
"6.20000","0.48512","4982.49512","0.00004"
"6.30000","0.49350","5038.21436","0.00004"
"6.40000","0.50175","5099.43359","0.00004"
"6.50000","0.51019","5160.23145","0.00003"
"6.60000","0.51875","5220.57812","0.00003"
"6.70000","0.52681","5277.53955","0.00003"
"6.80000","0.53512","5336.99219","0.00003"
"6.90000","0.54350","5398.90283","0.00002"
"7.00000","0.55156","5454.00195","0.00002"
"7.10000","0.56000","5518.43994","0.00002"
"7.20000","0.56856","5583.72266","0.00002"
"7.30000","0.57700","5640.27490","0.00002"
"7.40000","0.58500","5700.51953","0.00002"
"7.50000","0.59344","5764.02637","0.00002"
"7.60000","0.60187","5824.47461","0.00002"
"7.70000","0.61000","5885.64648","0.00002"
"7.80000","0.61837","5948.08594","0.00002"
"7.90000","0.62700","6013.30469","0.00002"
"8.00000","0.63519","6072.14258","0.00002"
"8.10000","0.64344","6137.44971","0.00002"
"8.20000","0.65200","6204.25391","0.00003"
"8.30000","0.66025","6263.29785","0.00003"
"8.40000","0.66825","6327.93213","0.00003"
"8.50000","0.67662","6392.37744","0.00003"
"8.60000","0.68512","6456.94873","0.00003"
"8.70000","0.69337","6522.80957","0.00004"
"8.80000","0.70187","6590.71045","0.00004"
"8.90000","0.71031","6656.36279","0.00004"
"9.00000","0.71850","6718.89502","0.00004"
"9.10000","0.72675","6784.80029","0.00005"
"9.20000","0.73506","6852.45020","0.00005"
"9.30000","0.74350","6917.47510","0.00006"
"9.40000","0.75175","6985.92285","0.00006"
"9.50000","0.76025","7055.31738","0.00006"
"9.60000","0.76869","7122.12793","0.00007"
"9.70000","0.77675","7187.31787","0.00007"
"9.80000","0.78512","7256.30664","0.00007"
"9.90000","0.79356","7326.83008","0.00008"
"10.00000","0.80162","7388.63623","0.00008"
"10.10000","0.80994","7459.25732","0.00009"
"10.20000","0.81844","7531.49219","0.00010"
"10.30000","0.82694","7598.66699","0.00010"
"10.40000","0.83512","7667.89307","0.00011"
"10.50000","0.84356","7737.93311","0.00011"
"10.60000","0.85194","7803.88037","0.00012"
"10.70000","0.85987","7870.64355","0.00012"
"10.80000","0.86831","7940.66504","0.00012"
"10.90000","0.87700","8014.04736","0.00013"
"11.00000","0.88525","8079.89111","0.00014"
"11.10000","0.89356","8150.08203","0.00014"
"11.20000","0.90187","8219.63672","0.00014"
"11.30000","0.91012","8283.74121","0.00015"
"11.40000","0.91825","8356.25879","0.00015"
"11.50000","0.92662","8425.35156","0.00016"
"11.60000","0.93519","8494.28320","0.00017"
"11.70000","0.94337","8564.55762","0.00017"
"11.80000","0.95181","8635.47949","0.00018"
"11.90000","0.96025","8706.34668","0.00019"
"12.00000","0.96856","8775.06934","0.00019"
"12.10000","0.97687","8845.10352","0.00019"
"12.20000","0.98512","8915.72656","0.00020"
"12.30000","0.99337","8981.89648","0.00020"
"12.40000","1.00169","9055.70117","0.00021"
"12.50000","1.01025","9131.06641","0.00022"
"12.60000","1.01875","9200.99902","0.00022"
"12.70000","1.02687","9269.26172","0.00023"
"12.80000","1.03506","9340.08398","0.00024"
"12.90000","1.04350","9414.25391","0.00025"
"13.00000","1.05156","9480.62012","0.00025"
"13.10000","1.06000","9554.95312","0.00026"
"13.20000","1.06856","9630.90820","0.00027"
"13.30000","1.07694","9699.27441","0.00027"
"13.40000","1.08494","9769.27930","0.00028"
"13.50000","1.09350","9845.62793","0.00029"
"13.60000","1.10200","9916.09180","0.00030"
"13.70000","1.11000","9984.62402","0.00030"
"13.80000","1.11837","10057.34473","0.00031"
"13.90000","1.12687","10131.96289","0.00032"
"14.00000","1.13519","10201.78906","0.00032"
"14.10000","1.14350","10277.78027","0.00033"
"14.20000","1.15200","10352.03906","0.00034"
"14.30000","1.16025","10418.76172","0.00034"
"14.40000","1.16825","10492.34961","0.00035"
"14.50000","1.17656","10565.51953","0.00036"
"14.60000","1.18519","10639.23730","0.00036"
"14.70000","1.19344","10714.38086","0.00038"
"14.80000","1.20194","10788.22949","0.00038"
"14.90000","1.21025","10861.39941","0.00039"
"15.00000","1.21844","10931.99805","0.00040"
"15.10000","1.22681","11007.61621","0.00041"
"15.20000","1.23512","11082.46973","0.00041"
"15.30000","1.24350","11152.68750","0.00042"
"15.40000","1.25175","11228.13867","0.00043"
"15.50000","1.26012","11304.42285","0.00044"
"15.60000","1.26862","11379.17773","0.00045"
"15.70000","1.27687","11453.48730","0.00046"
"15.80000","1.28512","11527.42285","0.00046"
"15.90000","1.29350","11604.11914","0.00047"
"16.00000","1.30156","11673.25293","0.00048"
"16.10000","1.30987","11750.87012","0.00049"
"16.20000","1.31856","11832.34473","0.00050"
"16.30000","1.32706","11905.10352","0.00050"
"16.40000","1.33506","11978.66602","0.00051"
"16.50000","1.34350","12056.27051","0.00052"
"16.60000","1.35181","12128.34766","0.00052"
"16.70000","1.35987","12201.94434","0.00053"
"16.80000","1.36837","12279.54102","0.00054"
"16.90000","1.37700","12357.64648","0.00055"
"17.00000","1.38525","12429.66895","0.00056"
"17.10000","1.39344","12506.25391","0.00057"
"17.20000","1.40187","12583.75391","0.00057"
"17.30000","1.41025","12656.38574","0.00059"
"17.40000","1.41825","12731.66211","0.00060"
"17.50000","1.42669","12807.88477","0.00061"
"17.60000","1.43512","12882.47852","0.00061"
"17.70000","1.44325","12958.25684","0.00062"
"17.80000","1.45187","13038.95312","0.00063"
"17.90000","1.46031","13115.53125","0.00064"
"18.00000","1.46850","13188.10156","0.00066"
"18.10000","1.47687","13264.63184","0.00066"
"18.20000","1.48500","13340.42578","0.00067"
"18.30000","1.49344","13414.81641","0.00069"
"18.40000","1.50181","13494.81152","0.00069"
"18.50000","1.51031","13574.31250","0.00070"
"18.60000","1.51869","13648.87402","0.00071"
"18.70000","1.52675","13721.72070","0.00073"
"18.80000","1.53500","13797.95215","0.00073"
"18.90000","1.54356","13880.32910","0.00074"
"19.00000","1.55162","13950.06738","0.00075"
"19.10000","1.56000","14027.80273","0.00076"
"19.20000","1.56850","14109.02441","0.00077"
"19.30000","1.57687","14181.41113","0.00078"
"19.40000","1.58506","14258.76172","0.00079"
"19.50000","1.59350","14338.67383","0.00080"
"19.60000","1.60194","14412.16602","0.00081"
"19.70000","1.60994","14485.60645","0.00082"
"19.80000","1.61825","14562.12891","0.00083"
"19.90000","1.62694","14643.14453","0.00085"
"20.00000","1.63531","14718.68750","0.00086"
"20.10000","1.64356","14796.16602","0.00087"
"20.20000","1.65194","14873.74609","0.00088"
"20.30000","1.66012","14944.12598","0.00089"
"20.40000","1.66819","15021.82520","0.00090"
"20.50000","1.67662","15101.09473","0.00091"
"20.60000","1.68525","15177.36328","0.00092"
"20.70000","1.69344","15253.66309","0.00094"
"20.80000","1.70181","15331.09277","0.00095"
"20.90000","1.71012","15407.03516","0.00096"
"21.00000","1.71837","15481.46777","0.00097"
"21.10000","1.72687","15560.62207","0.00098"
"21.20000","1.73512","15637.24609","0.00099"
"21.30000","1.74350","15709.27832","0.00101"
"21.40000","1.75162","15786.28711","0.00102"
"21.50000","1.76019","15867.16309","0.00103"
"21.60000","1.76875","15944.87695","0.00104"
"21.70000","1.77694","16017.17188","0.00106"
"21.80000","1.78512","16091.72266","0.00107"
"21.90000","1.79344","16170.28906","0.00108"
"22.00000","1.80150","16238.65332","0.00109"
"22.10000","1.81000","16319.58496","0.00110"
"22.20000","1.81862","16401.07422","0.00112"
"22.30000","1.82706","16472.55859","0.00114"
"22.40000","1.83506","16544.57227","0.00114"
"22.50000","1.84337","16621.78125","0.00116"
"22.60000","1.85194","16695.89648","0.00117"
"22.70000","1.86000","16769.05078","0.00119"
