Time (s),Extension (mm),Load (N),Tensile strain (Strain 1) (mm/mm)
0,-1.56794,-5.96529,-0.00002
0.1,-1.56337,42.1862,0
0.2,-1.55206,282.84894,0.00003
0.3,-1.54294,477.95657,0.00004
0.4,-1.53463,641.27869,0.00006
0.5,-1.52619,789.89417,0.00007
0.6,-1.51781,918.7204,0.00008
0.7,-1.50981,1034.01074,0.00009
0.8,-1.50119,1142.1488,0.00009
0.9,-1.49262,1241.46814,0.0001
1,-1.48444,1329.87549,0.0001
1.1,-1.476,1417.75525,0.0001
1.2,-1.46775,1501.53845,0.0001
1.3,-1.45944,1576.58289,0.00011
1.4,-1.45131,1651.70264,0.0001
1.5,-1.44294,1725.69995,0.0001
1.6,-1.43431,1795.07507,0.0001
1.7,-1.42613,1860.30383,0.0001
1.8,-1.41769,1924.16882,0.0001
1.9,-1.40925,1984.02344,0.00009
2,-1.40119,2035.19238,0.00009
2.1,-1.39288,2089.96265,0.00009
2.2,-1.38456,2142.25195,0.00007
2.3,-1.37625,2189.4668,0.00007
2.4,-1.36788,2239.88892,0.00007
2.5,-1.35931,2286.93872,0.00006
2.6,-1.35088,2329.91797,0.00005
2.7,-1.34294,2370.74243,0.00005
2.8,-1.33431,2414.58081,0.00004
2.9,-1.32606,2453.67969,0.00003
3,-1.318,2490.03369,0.00003
3.1,-1.30938,2532.35986,0.00002
3.2,-1.30094,2573.24292,0.00001
3.3,-1.29263,2612.56592,0.00001
3.4,-1.2845,2656.40332,0
3.5,-1.27613,2702.62354,0
3.6,-1.26769,2749.63184,-0.00001
3.7,-1.25975,2797.97461,-0.00001
3.8,-1.25119,2852.48486,-0.00001
3.9,-1.24269,2908.36108,-0.00001
4,-1.23444,2962.30737,-0.00001
4.1,-1.22606,3021.72705,-0.00001
4.2,-1.21775,3081.85718,-0.00001
4.3,-1.20938,3137.08716,0
4.4,-1.20131,3193.75146,0
4.5,-1.19288,3251.69458,0.00002
4.6,-1.18425,3308.44336,0.00002
4.7,-1.17613,3364.17188,0.00003
4.8,-1.16769,3422.50439,0.00003
4.9,-1.15925,3479.26733,0.00004
5,-1.15125,3531.96387,0.00005
5.1,-1.14288,3591.81763,0.00006
5.2,-1.13456,3650.32886,0.00006
5.3,-1.12619,3706.2876,0.00007
5.4,-1.11788,3767.54102,0.00008
5.5,-1.10938,3827.26782,0.00009
5.6,-1.10094,3883.9939,0.0001
5.7,-1.09288,3942.95483,0.0001
5.8,-1.08438,4003.93018,0.00011
5.9,-1.07606,4062.67798,0.00012
6,-1.068,4118.60303,0.00013
6.1,-1.05944,4181.64355,0.00014
6.2,-1.051,4243.06055,0.00015
6.3,-1.04263,4301.19189,0.00015
6.4,-1.03444,4362.91016,0.00016
6.5,-1.02606,4423.05615,0.00017
6.6,-1.01775,4481.59375,0.00018
6.7,-1.00975,4540.91895,0.00019
6.8,-1.00119,4605.20459,0.00019
6.9,-0.99269,4668.62451,0.00021
7,-0.98444,4728.9248,0.00021
7.1,-0.97606,4791.21094,0.00022
7.2,-0.96781,4855.41943,0.00023
7.3,-0.95937,4916.23145,0.00024
7.4,-0.95131,4979.4165,0.00025
7.5,-0.94288,5045.021,0.00026
7.6,-0.93425,5108.79932,0.00027
7.7,-0.92625,5170.74219,0.00027
7.8,-0.91775,5237.23193,0.00029
7.9,-0.90919,5303.896,0.00029
8,-0.90119,5363.76953,0.0003
8.1,-0.89281,5430.56738,0.00031
8.2,-0.88462,5494.64355,0.00032
8.3,-0.87625,5557.6792,0.00033
8.4,-0.86787,5628.78809,0.00034
8.5,-0.85931,5695.71143,0.00035
8.6,-0.85087,5758.49414,0.00036
