Time (s),Extension (mm),Load (N),Tensile strain (Strain 1) (mm/mm)
0,-0.01644,-0.49682,0.00001
0.1,-0.01131,50.17495,0.00002
0.2,-0.00044,295.96613,0.00004
0.3,0.00844,470.63281,0.00005
0.4,0.01694,606.79187,0.00006
0.5,0.02531,717.12292,0.00007
0.6,0.03375,806.57733,0.00007
0.7,0.04219,880.83307,0.00006
0.8,0.05056,942.59216,0.00006
0.9,0.05856,1001.2373,0.00005
1,0.06712,1057.91895,0.00002
1.1,0.07537,1107.96948,-0.00001
1.2,0.08344,1155.28442,-0.00005
1.3,0.09219,1204.68909,-0.0001
1.4,0.10056,1248.73071,-0.00013
1.5,0.10881,1288.30029,-0.00015
1.6,0.11712,1330.1792,-0.00015
1.7,0.1255,1372.26379,-0.00016
1.8,0.13381,1410.48718,-0.00017
1.9,0.14181,1450.83325,-0.00016
2,0.15044,1493.34619,-0.00017
2.1,0.15894,1533.84534,-0.00017
2.2,0.16706,1575.30945,-0.00017
2.3,0.17556,1619.00574,-0.00018
2.4,0.18387,1662.3396,-0.00018
2.5,0.192,1703.62927,-0.00018
2.6,0.20025,1747.15576,-0.00017
2.7,0.20869,1793.2854,-0.00017
2.8,0.21719,1837.78516,-0.00017
2.9,0.22537,1883.08472,-0.00018
3,0.23381,1929.18835,-0.00017
3.1,0.24225,1972.26892,-0.00017
3.2,0.25031,2014.43286,-0.00017
3.3,0.25869,2059.10547,-0.00017
3.4,0.26706,2103.49243,-0.00016
3.5,0.27537,2146.9917,-0.00016
3.6,0.28375,2192.47241,-0.00016
3.7,0.29225,2239.66821,-0.00015
3.8,0.30056,2282.61328,-0.00015
3.9,0.30856,2327.73926,-0.00014
4,0.31706,2375.05225,-0.00014
4.1,0.32531,2418.40039,-0.00013
4.2,0.33344,2464.19751,-0.00013
4.3,0.34219,2514.4231,-0.00013
4.4,0.35062,2562.01953,-0.00012
4.5,0.35881,2606.75781,-0.00011
4.6,0.36706,2656.27124,-0.00011
4.7,0.3755,2705.24121,-0.0001
4.8,0.38375,2750.15088,-0.00009
4.9,0.39187,2800.09009,-0.00008
5,0.40044,2852.07056,-0.00008
5.1,0.409,2901.03027,-0.00007
5.2,0.41706,2949.52686,-0.00006
5.3,0.42556,3001.47559,-0.00005
5.4,0.43387,3051.59961,-0.00004
5.5,0.442,3100.21753,-0.00004
5.6,0.45025,3151.19702,-0.00003
5.7,0.45862,3204.6001,-0.00002
5.8,0.46719,3255.74463,-0.00001
5.9,0.47537,3308.04028,0
6,0.48381,3361.52734,0.00001
